name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_epochs,w1_amplitude,w1_var_ratio,w1_mean_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w1_baseline,w1_sigp,w1_in_sigp,w1_brighter_sigp,w1_fainter_sigp,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_epochs,w2_amplitude,w2_var_ratio,w2_mean_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w2_baseline,w2_sigp,w2_in_sigp,w2_brighter_sigp,w2_fainter_sigp,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,cadence,epochs,qual_flag,pmra,pmra_err,pmdec,pmdec_err,wiseview
3494580937593244672,J115840.60-202951.09,179.669164,0.795177,-20.497486,0.895292,16.082,0.261,16.055,0.248,15.569,0.152,16.888,0.497,4.386,0.3,7.4,83,22,1.319,0.92,0.027,0.632,0.004,9.59,0.300511990688515,0.0310349179619901,16.092,0.256,69.88,15.66,14.46,15.008,0.376,14.968,0.42,14.187,,15.668,,0.809,-5.8,4.0,82,22,1.481,0.82,0.04,0.473,0.001,10.62,0.3117844974809947,0.0613703521367376,15.051,0.36,73.49,16.87,8.43,11.317,,1.1,7.718,,0.9,1.074,4730.823,0.264,22,SS,-36.82613074320262,0.05361793,9.03933276405225,0.026576841,http://byw.tools/wiseview#ra=179.66918138803706&dec=-20.49752495585877&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3575728709655386752,J120055.79-103221.12,180.2324,0.612937,-10.539258,0.697273,15.726,0.204,15.71,0.188,15.144,0.13,16.784,0.532,5.68,1.5,9.1,170,22,1.64,1.0,0.016,0.655,0.001,11.32,0.1667011721261367,0.1036188676058032,15.686,0.195,55.29,20.0,24.71,14.939,0.44,14.955,0.445,14.107,,15.645,0.538,1.303,-6.5,3.8,170,22,1.538,0.85,-0.016,0.449,0.0,11.08,0.1591718764501602,0.0218303837576837,14.914,0.341,71.76,11.76,16.47,11.02,0.433,2.1,7.358,0.395,1.367,0.786,4731.216,0.131,22,SS,-91.24038081629776,0.056173295,-31.98592684784812,0.035541248,http://byw.tools/wiseview#ra=180.2324504393254&dec=-10.539201320019774&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3489719481290397696,J120526.72-233308.51,181.361372,0.061785,-23.552239,0.068748,12.34,0.026,12.34,0.025,11.494,0.016,12.831,0.029,42.527,15.5,69.3,311,22,1.337,0.78,0.0,0.367,0.004,9.85,0.0769360232638215,0.7952695893130126,12.34,0.033,76.21,10.93,12.86,12.403,0.052,12.393,0.049,12.0,0.047,14.105,0.264,21.543,4.1,28.8,311,22,2.105,0.89,0.01,0.813,0.0,7.16,0.0995449237436214,2.657909924368806,12.389,0.06,66.24,15.76,18.01,11.004,0.443,1.867,7.46,0.46,1.158,-0.062,4731.361,0.13,22,SS,41.81855208513012,0.021008832,226.55843526184685,0.019954445,http://byw.tools/wiseview#ra=181.3613440448653&dec=-23.552365030827776&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3582980160637375744,J121824.99-082127.96,184.604094,0.602872,-8.357831,0.677584,15.67,0.19,15.65,0.177,15.256,0.155,16.431,0.339,6.041,3.2,8.4,58,22,1.175,0.86,0.02,0.665,0.003,9.32,0.3731714306512895,0.1512866321714716,15.633,0.187,67.24,15.52,17.24,14.93,0.402,14.948,0.396,14.068,,15.611,,1.138,-1.8,4.3,58,22,1.543,0.84,-0.018,0.43,0.006,8.6,0.3546352928624709,0.0364433382171876,14.859,0.339,79.31,8.62,12.07,11.162,,0.925,7.795,,0.15,0.74,4731.426,0.392,22,SS,8.165747156673406,0.06692392,-71.39585589639353,0.049241073,http://byw.tools/wiseview#ra=184.6041319726125&dec=-8.357766554753596&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1719532183209683200,J122511.08+803618.65,186.295638,0.843424,80.605069,0.827666,16.107,0.256,16.083,0.24,15.456,0.142,16.704,0.451,4.461,1.3,7.9,96,21,1.248,0.84,0.024,0.498,0.0,9.11,0.2803944999279989,0.0201461794772331,16.175,0.261,69.79,19.79,10.42,15.112,0.424,15.091,0.442,14.363,,15.612,0.468,1.341,-0.6,4.0,96,21,1.249,0.9,0.021,0.417,0.0,11.21,0.2684105987145906,0.240124167678385,15.186,0.394,86.46,11.46,2.08,11.26,0.372,1.21,7.83,0.417,1.05,0.995,4941.111,0.263,21,SS,-72.58718314370238,0.067999415,-121.73104371661536,0.06723092,http://byw.tools/wiseview#ra=186.29616428398057&dec=80.6051799625853&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
5860131207828395648,J122641.93-661221.39,186.674551,0.092889,-66.205992,0.107116,12.865,0.034,12.862,0.033,12.597,0.035,13.186,0.057,32.633,19.1,41.0,423,22,0.589,0.74,0.003,0.55,0.001,12.05,0.0638297034537234,0.0417884698907981,12.841,0.038,41.13,20.57,38.3,12.985,0.077,12.981,0.073,12.393,0.048,15.12,,14.506,-36.4,22.5,423,22,2.727,0.89,0.004,0.784,0.0,10.52,0.0637104175223989,0.0626497978200856,12.982,0.081,53.9,24.59,21.51,11.284,0.273,3.75,7.767,0.194,1.322,-0.121,4912.071,0.066,22,SS,-33.76604767318161,0.015831959,-182.88245979928865,0.01676737,http://byw.tools/wiseview#ra=186.67472230498373&dec=-66.2059426146946&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3523347735187987072,J123613.80-164152.82,189.057461,0.708151,-16.698013,0.798524,15.874,0.236,15.833,0.225,15.265,0.129,16.814,0.43,4.953,2.2,8.4,135,23,1.549,0.95,0.041,0.633,0.0,12.4,0.2518884159902603,0.1119022401765904,15.857,0.218,56.3,18.52,25.19,15.01,0.439,15.061,0.432,13.928,,15.647,,0.81,-5.0,3.4,135,23,1.719,0.87,-0.051,0.341,0.0,10.32,0.1872256952084554,0.013302347119367,15.061,0.36,69.63,18.52,11.85,11.017,0.105,3.12,7.619,0.28,1.5,0.864,4904.326,0.132,23,SS,-92.6650630504844,0.046261124,-24.08265868486695,0.029616676,http://byw.tools/wiseview#ra=189.05750301213035&dec=-16.698004800199204&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6156577375318999040,J123725.21-372920.40,189.3551,0.716923,-37.488952,0.811587,15.91,0.227,15.886,0.212,15.429,0.206,16.582,0.341,5.024,1.7,7.9,116,23,1.153,0.79,0.024,0.604,0.01,9.22,0.1759610974954087,0.0161218706486303,15.899,0.224,68.1,14.66,17.24,15.067,0.407,15.05,0.406,14.188,0.283,15.739,,1.274,-1.4,4.1,115,23,1.551,0.68,0.017,0.444,0.001,9.98,0.2061015219389189,0.0507595688272531,15.007,0.379,71.55,7.76,19.83,11.304,0.41,1.067,7.769,,0.656,0.843,4906.317,0.262,23,SS,109.90646836344888,0.042118948,-50.99688744956949,0.03725833,http://byw.tools/wiseview#ra=189.35506181226023&dec=-37.48899919928223&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6127333286605955072,J123848.86-494801.40,189.70322,0.157064,-49.800394,0.175588,13.969,0.055,13.961,0.053,13.644,0.048,14.452,0.078,20.267,11.1,25.2,338,23,0.808,0.76,0.008,0.608,0.0,12.45,0.0846484269999894,0.0586270591045091,13.956,0.06,59.76,15.68,24.56,14.079,0.174,14.051,0.162,13.631,0.111,15.064,,6.535,0.2,11.4,337,23,1.433,0.99,0.028,0.707,0.0,13.02,0.0966139441307978,0.0939132118159413,14.029,0.173,66.86,11.54,21.3,11.305,0.124,1.925,7.727,0.341,1.293,-0.11,4910.607,0.066,23,SS,-557.1105894645979,0.014324221,-74.0359021238133,0.012501985,http://byw.tools/wiseview#ra=189.70358522660496&dec=-49.80039008826743&size=106&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
6158704208764041472,J124444.86-350747.69,191.18683,0.204112,-35.130029,0.231717,14.366,0.07,14.361,0.067,14.038,0.069,14.651,0.089,15.926,8.0,20.5,304,23,0.613,0.71,0.005,0.473,0.002,11.14,0.085818656673305,0.0326476754675832,14.354,0.076,69.08,11.51,19.41,14.454,0.248,14.422,0.227,13.792,0.183,15.34,,4.593,-0.2,8.7,304,23,1.548,0.86,0.032,0.593,0.004,10.85,0.0882131811827066,0.0233248870893504,14.362,0.23,63.16,9.87,26.97,11.265,,0.688,7.767,,0.967,-0.089,4910.467,0.13,23,SS,-141.32825501947616,0.022147128,-219.101971872438,0.016263328,http://byw.tools/wiseview#ra=191.1869172582321&dec=-35.129912717575166&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
